STATIONS
0|Myslíč|5|
1|Říčany,Březská U Rokytky|1|
2|Pševes|10|
3|Stochov,Slovanka II|5|
4|Ždírec,náves|7|
5|Rožmitál p.Tř.,aut.st.|8|
6|Slaný,Palackého|4|
7|Hobšovice,Křovice|5|
8|Nádraží Modřany|0|
9|Průhonice,Tovární|1|
10|Benátky n.Jiz.,rozc.Sedlec|5|
11|Vysoká,Bosyně|5|
12|Velké Přílepy|1|
13|Jemníky|4|
14|Hudlice,horní|5|
15|Sídliště Petrovice|P|
16|Miličín,škola|8|
17|Buštěhrad|2|
18|Červené Pečky,Opatovice|6|
19|U Památníku|P|
20|Dolní Pohleď,Měchonice|9|
21|Korkyně|5|
22|Vysoká u Příbramě,u kapličky|7|
23|Myslín|10|
24|Nový Dům|6|
25|Červený Újezd,Zátiší|8|
26|Plchov|5|
27|Nad Jetelkou|P|
28|Říčany,Pacov,Horní Pacov|1|
29|Bojasova|P|
30|Kbelský lesopark|P|
31|Chotoviny,rozc.2.0|-|
32|Čechtice,Jeníkov|9|
33|Rudná,Celní úřad|1,2|
34|Říčany,Sídl.Olivovna|1|
35|Ledeč n.Sáz.,sídl.Plácky|10|
36|Davle,Sloup,U Jeřábu|2|
37|Kolín,Lučební|6|
38|Dolnopočernický hřbitov|P|
39|Dlouhá třída|P|
40|Svojetice,Na vyhlídce|2|
41|Nespeky|4|
42|Libovice,Kejkol|5|
43|Chlístovice,Svatý Jan|6|
44|Jankov|7|
45|Kolín,nádraží|6|
46|Maršovice,Libeč|6|
47|Bořanovice|1|
48|Lazsko|8|
49|Jankov,Jitra|7|
50|Ruda,Horácká lísa|6|
51|Jince,Sokolovna|6|
52|Luka pod Medníkem|3|
53|Hrádek,nad záv.|-|
54|Kralupy nad Vltavou předměstí|3|
55|Pavlíkov,Pošta|7|
56|Roudnice n.L.,nemocnice|7|
57|Lužec n.Vlt.,Strojírny|5|
58|Rápošovská|P|
59|Benátky n.Jiz.,Vaněčkova|5|
60|Slabce,Modřejovice|8|
61|Týnec n.L.,Lžovice|8|
62|Malá Chuchle|P|
63|Na Radosti|0|
64|Hostomice,odb.Zátor|5|
65|Kutná Hora,Žižkov,u hřbitova|7|
66|Babice,U hřiště|2|
67|Kovářova - KD Mlejn|P|
68|Kostomlaty p.Řípem,rozc.|6|
69|Mělník,Chloumecká|4|
70|Přerov n.L.,Nový Přerov|3|
71|Sány|7|
72|Vrbičany|5|
73|Čachovice,Struhy,Hostinec|5|
74|Hněvkovice,Nová Ves,rozc.1.0|10|
75|Rožďalovice,Viničná Lhota|8|
76|Šeberák|P|
77|Petrovice,Týnčany,rozc.|9|
78|Klášter Hradiště n.Jiz.,Habr|9|
79|Nad Trojou|P|
80|Čím|5|
81|Můstek|P|
82|Slaný,Otruby|4|
83|Vlašim,Březina|7|
84|Mnichovice,Myšlín|2|
85|Poliklinika Petřiny|P|
86|Zruč n.Sáz.,nám.|8|
87|Mníšek p.Brdy,Pražská|3,4|
88|Říčany,Pod Lihovarem|1|
89|Lysá n.L.,škola|3|
90|Chotilsko,Živohošť|5|
91|Kněžmost,Drhleny|8|
92|Kněžmost,Srbsko|9|
93|Korkyně,Křížov|5|
94|Beroun,Wagnerovo nám.|4|
95|Chlumec nad Cidlinou|10|
96|Benešov,Okrouhlice|5|
97|U Ladronky|P|
98|Jenštejn,Domov seniorů|1|
99|Svatý Mikuláš,zámek Kačina|7|
100|Přerov n.L.,Rozc.u obory|3|
101|Tochovice,žel.st.|8|
102|Roztyly|0|
103|Husinec,Samota|1|
104|Podbořany,aut.nádr.|10|
105|Zlatá|1|
106|Dolní Hbity,Brodce|7|
107|Strančice,Všechromy,náves|1|
108|Švihov u Jesenice|9|
109|Libeňský most|P|
110|Lukavec,Bezděkov|10|
111|Mnichovo Hradiště,Sychrov,u rybníka|9|
112|Netřeba|3|
113|Dolní Břežany,Zálepy|1|
114|Bílé Podolí,Zaříčany|8|
115|Kněžmost,Na Dolích|8|
116|Křivoklát|6|
117|Kolomuty|7|
118|Hatě|5|
119|Křesetice,u rybníku|7|
120|Čistá,Stránka|8|
121|Hořovičky,Hokov|9|
122|Benešov,Pražská|5|
123|Bezděz|9|
